fecha,clausura
31/10/2020 00:00,13816.08
30/10/2020 00:00,13562.13
29/10/2020 00:00,13468.44
28/10/2020 00:00,13274.73
27/10/2020 00:00,13647.9
26/10/2020 00:00,13066.73
25/10/2020 00:00,13039.09
24/10/2020 00:00,13122.73
23/10/2020 00:00,12941.59
22/10/2020 00:00,12983.26
21/10/2020 00:00,12802.67
20/10/2020 00:00,11921.11
19/10/2020 00:00,11764.14
18/10/2020 00:00,11519.97
17/10/2020 00:00,11365.8
16/10/2020 00:00,11321.86
15/10/2020 00:00,11511.11
14/10/2020 00:00,11428.84
13/10/2020 00:00,11427.98
12/10/2020 00:00,11535.98
11/10/2020 00:00,11372.93
10/10/2020 00:00,11301.2
09/10/2020 00:00,11052
08/10/2020 00:00,10925.2
07/10/2020 00:00,10669.14
06/10/2020 00:00,10606.33
05/10/2020 00:00,10795
04/10/2020 00:00,10669.63
03/10/2020 00:00,10553.66
02/10/2020 00:00,10578.54
01/10/2020 00:00,10622.71
30/09/2020 00:00,10778.22
29/09/2020 00:00,10836.42
28/09/2020 00:00,10689.48
27/09/2020 00:00,10780.66
26/09/2020 00:00,10729.09
25/09/2020 00:00,10689.81
24/09/2020 00:00,10744.02
23/09/2020 00:00,10233.42
22/09/2020 00:00,10534.31
21/09/2020 00:00,10411.29
20/09/2020 00:00,10923.5
19/09/2020 00:00,11077.22
18/09/2020 00:00,10931.2
17/09/2020 00:00,10940.47
16/09/2020 00:00,10951.54
15/09/2020 00:00,10783.83
14/09/2020 00:00,10675.15
13/09/2020 00:00,10334.78
12/09/2020 00:00,10443.33
11/09/2020 00:00,10393.04
10/09/2020 00:00,10342.59
09/09/2020 00:00,10232.8
08/09/2020 00:00,10123.96
07/09/2020 00:00,10377.14
06/09/2020 00:00,10260.17
05/09/2020 00:00,10167.19
04/09/2020 00:00,10456.32
03/09/2020 00:00,10160
02/09/2020 00:00,11398.44
01/09/2020 00:00,11923.96
31/08/2020 00:00,11655
30/08/2020 00:00,11708.97
29/08/2020 00:00,11471.71
28/08/2020 00:00,11536.58
27/08/2020 00:00,11330
26/08/2020 00:00,11469.3
25/08/2020 00:00,11328.88
24/08/2020 00:00,11761.8
23/08/2020 00:00,11644.65
22/08/2020 00:00,11667.7
21/08/2020 00:00,11531.74
20/08/2020 00:00,11859.37
19/08/2020 00:00,11757.55
18/08/2020 00:00,11958.1
17/08/2020 00:00,12298.38
16/08/2020 00:00,11914.02
15/08/2020 00:00,11852.2
14/08/2020 00:00,11779.77
13/08/2020 00:00,11793.26
12/08/2020 00:00,11565.35
11/08/2020 00:00,11392.64
10/08/2020 00:00,11895.12
09/08/2020 00:00,11683.03
08/08/2020 00:00,11776.9
07/08/2020 00:00,11600.85
06/08/2020 00:00,11770.08
05/08/2020 00:00,11755.24
04/08/2020 00:00,11192.42
03/08/2020 00:00,11236.39
02/08/2020 00:00,11071.66
01/08/2020 00:00,11817.49
31/07/2020 00:00,11356.74
30/07/2020 00:00,11112.12
29/07/2020 00:00,11111.17
28/07/2020 00:00,10939.27
27/07/2020 00:00,11046.19
26/07/2020 00:00,9944.65
25/07/2020 00:00,9710.98
24/07/2020 00:00,9547.91
23/07/2020 00:00,9617.2
22/07/2020 00:00,9539.51
21/07/2020 00:00,9391.25
20/07/2020 00:00,9162.43
19/07/2020 00:00,9211.99
18/07/2020 00:00,9177.43
17/07/2020 00:00,9156.5
16/07/2020 00:00,9132.87
15/07/2020 00:00,9190.07
14/07/2020 00:00,9251.59
13/07/2020 00:00,9233.1
12/07/2020 00:00,9306.17
11/07/2020 00:00,9238.3
10/07/2020 00:00,9283.53
09/07/2020 00:00,9234.9
08/07/2020 00:00,9437.16
07/07/2020 00:00,9257.16
06/07/2020 00:00,9348.22
05/07/2020 00:00,9076.82
04/07/2020 00:00,9138.52
03/07/2020 00:00,9063.08
02/07/2020 00:00,9092.92
01/07/2020 00:00,9233.38
30/06/2020 00:00,9132.96
29/06/2020 00:00,9188.88
28/06/2020 00:00,9118.01
27/06/2020 00:00,9009.3
26/06/2020 00:00,9158.26
25/06/2020 00:00,9239.48
24/06/2020 00:00,9286.06
23/06/2020 00:00,9622.81
22/06/2020 00:00,9683.12
21/06/2020 00:00,9283.03
20/06/2020 00:00,9355.46
19/06/2020 00:00,9304.32
18/06/2020 00:00,9374.78
17/06/2020 00:00,9461.29
16/06/2020 00:00,9530.3
15/06/2020 00:00,9435.15
14/06/2020 00:00,9329.99
13/06/2020 00:00,9473.46
12/06/2020 00:00,9463.07
11/06/2020 00:00,9264.26
10/06/2020 00:00,9894.32
09/06/2020 00:00,9776.84
08/06/2020 00:00,9783
07/06/2020 00:00,9750.04
06/06/2020 00:00,9669.85
05/06/2020 00:00,9619.99
04/06/2020 00:00,9791.92
03/06/2020 00:00,9668.99
02/06/2020 00:00,9525.73
01/06/2020 00:00,10203.64
31/05/2020 00:00,9446.19
30/05/2020 00:00,9705.1
29/05/2020 00:00,9421.04
28/05/2020 00:00,9577.38
27/05/2020 00:00,9210
26/05/2020 00:00,8840.91
25/05/2020 00:00,8903.56
24/05/2020 00:00,8718.77
23/05/2020 00:00,9183.46
22/05/2020 00:00,9171.96
21/05/2020 00:00,9062.47
20/05/2020 00:00,9516.51
19/05/2020 00:00,9787.65
18/05/2020 00:00,9721.91
17/05/2020 00:00,9665.7
16/05/2020 00:00,9389.07
15/05/2020 00:00,9306.21
14/05/2020 00:00,9793.5
13/05/2020 00:00,9315.5
12/05/2020 00:00,8825.46
11/05/2020 00:00,8571.98
10/05/2020 00:00,8731.17
09/05/2020 00:00,9546.56
08/05/2020 00:00,9801.35
07/05/2020 00:00,10000
06/05/2020 00:00,9154.32
05/05/2020 00:00,9034.85
04/05/2020 00:00,8882.87
03/05/2020 00:00,8915.98
02/05/2020 00:00,8983.79
01/05/2020 00:00,8832.44
30/04/2020 00:00,8627.32
29/04/2020 00:00,8790.32
28/04/2020 00:00,7767.79
27/04/2020 00:00,7786.41
26/04/2020 00:00,7701.73
25/04/2020 00:00,7547.56
24/04/2020 00:00,7505.53
23/04/2020 00:00,7484.58
22/04/2020 00:00,7137.79
21/04/2020 00:00,6854.98
20/04/2020 00:00,6841
19/04/2020 00:00,7126.4
18/04/2020 00:00,7262.26
17/04/2020 00:00,7024.19
16/04/2020 00:00,7111.67
15/04/2020 00:00,6619
14/04/2020 00:00,6879.75
13/04/2020 00:00,6864.22
12/04/2020 00:00,6908.24
11/04/2020 00:00,6883.18
10/04/2020 00:00,6877.03
09/04/2020 00:00,7293.93
08/04/2020 00:00,7367.36
07/04/2020 00:00,7202.73
06/04/2020 00:00,7352.43
05/04/2020 00:00,6775.2
04/04/2020 00:00,6879.61
03/04/2020 00:00,6742.57
02/04/2020 00:00,6801.99
01/04/2020 00:00,6652.07
31/03/2020 00:00,6421.14
30/03/2020 00:00,6407.77
29/03/2020 00:00,5870.9
28/03/2020 00:00,6253.08
27/03/2020 00:00,6376.03
26/03/2020 00:00,6760.72
25/03/2020 00:00,6692.22
24/03/2020 00:00,6768.64
23/03/2020 00:00,6493.51
22/03/2020 00:00,5813.15
21/03/2020 00:00,6187.78
